name,lon,lat,local_measurement_dBm,path_loss_dB
RX_1,-0.098043,52.803119,-99.58,169.57999999999998
RX_2,-0.098037,52.80314,-99.44,169.44
RX_3,-0.098037,52.803153,-99.78,169.78
RX_4,-0.098038,52.803171,-99.64,169.64
RX_5,-0.09804,52.803195,-100.07,170.07
RX_6,-0.098039,52.80322,-100.01,170.01
RX_7,-0.098038,52.803248,-99.46,169.45999999999998
RX_8,-0.098039,52.80328,-98.12,168.12
RX_9,-0.098039,52.803317,-98.86,168.86
RX_10,-0.098039,52.803353,-98.16,168.16
RX_11,-0.098037,52.803387,-94.96,164.95999999999998
RX_12,-0.098033,52.803418,-88.97,158.97
RX_13,-0.09802,52.803438,-85.61,155.61
RX_14,-0.097995,52.803457,-86.14,156.14
RX_15,-0.097971,52.803468,-91.72,161.72
RX_16,-0.097944,52.803476,-95.54,165.54000000000002
RX_17,-0.09791,52.803482,-97.75,167.75
RX_18,-0.09786,52.80349,-96.95,166.95
RX_19,-0.097805,52.803497,-99.54,169.54000000000002
RX_20,-0.097737,52.803503,-96.79,166.79000000000002
RX_21,-0.097658,52.803508,-98.42,168.42000000000002
RX_22,-0.097623,52.803505,-102.07,172.07
RX_23,-0.097605,52.803502,-102.01,172.01
RX_24,-0.097584,52.803488,-100.64,170.64
RX_25,-0.09757,52.803472,-98.99,168.99
RX_26,-0.097558,52.803454,-99.06,169.06
RX_27,-0.097547,52.803425,-99.11,169.11
RX_28,-0.09754,52.8034,-98.39,168.39
RX_29,-0.097535,52.803375,-94.16,164.16
RX_30,-0.097533,52.803346,-99.21,169.20999999999998
RX_31,-0.097531,52.803324,-98.93,168.93
RX_32,-0.09753,52.803293,-100.08,170.07999999999998
RX_33,-0.09753,52.803271,-97.57,167.57
RX_34,-0.097531,52.803239,-100.41,170.41
RX_35,-0.097531,52.803214,-100.96,170.95999999999998
RX_36,-0.09753,52.803173,-100.01,170.01
RX_37,-0.097531,52.803137,-99.57,169.57
RX_38,-0.097527,52.803091,-100.29,170.29000000000002
RX_39,-0.097514,52.803054,-100.99,170.99
RX_40,-0.097497,52.80303,-103.01,173.01
RX_41,-0.097477,52.803011,-100.97,170.97
RX_42,-0.097444,52.802994,-102.18,172.18
RX_43,-0.097415,52.802987,-103.54,173.54000000000002
RX_44,-0.097377,52.802982,-102.34,172.34
RX_45,-0.097348,52.802984,-104.12,174.12
RX_46,-0.097307,52.802987,-103.79,173.79000000000002
RX_47,-0.097282,52.802989,-103.83,173.82999999999998
RX_48,-0.097241,52.802997,-105.4,175.4
RX_49,-0.097202,52.803004,-103.51,173.51
RX_50,-0.097173,52.80301,-101.66,171.66
RX_51,-0.097122,52.803021,-101.16,171.16
RX_52,-0.097072,52.803031,-101.02,171.01999999999998
RX_53,-0.097043,52.803036,-103.17,173.17000000000002
