name,lon,lat,height
RX_1,-0.098043,52.803119,1.5
RX_2,-0.098037,52.80314,1.5
RX_3,-0.098037,52.803153,1.5
RX_4,-0.098038,52.803171,1.5
RX_5,-0.09804,52.803195,1.5
RX_6,-0.098039,52.80322,1.5
RX_7,-0.098038,52.803248,1.5
RX_8,-0.098039,52.80328,1.5
RX_9,-0.098039,52.803317,1.5
RX_10,-0.098039,52.803353,1.5
RX_11,-0.098037,52.803387,1.5
RX_12,-0.098033,52.803418,1.5
RX_13,-0.09802,52.803438,1.5
RX_14,-0.097995,52.803457,1.5
RX_15,-0.097971,52.803468,1.5
RX_16,-0.097944,52.803476,1.5
RX_17,-0.09791,52.803482,1.5
RX_18,-0.09786,52.80349,1.5
RX_19,-0.097805,52.803497,1.5
RX_20,-0.097737,52.803503,1.5
RX_21,-0.097658,52.803508,1.5
RX_22,-0.097623,52.803505,1.5
RX_23,-0.097605,52.803502,1.5
RX_24,-0.097584,52.803488,1.5
RX_25,-0.09757,52.803472,1.5
RX_26,-0.097558,52.803454,1.5
RX_27,-0.097547,52.803425,1.5
RX_28,-0.09754,52.8034,1.5
RX_29,-0.097535,52.803375,1.5
RX_30,-0.097533,52.803346,1.5
RX_31,-0.097531,52.803324,1.5
RX_32,-0.09753,52.803293,1.5
RX_33,-0.09753,52.803271,1.5
RX_34,-0.097531,52.803239,1.5
RX_35,-0.097531,52.803214,1.5
RX_36,-0.09753,52.803173,1.5
RX_37,-0.097531,52.803137,1.5
RX_38,-0.097527,52.803091,1.5
RX_39,-0.097514,52.803054,1.5
RX_40,-0.097497,52.80303,1.5
RX_41,-0.097477,52.803011,1.5
RX_42,-0.097444,52.802994,1.5
RX_43,-0.097415,52.802987,1.5
RX_44,-0.097377,52.802982,1.5
RX_45,-0.097348,52.802984,1.5
RX_46,-0.097307,52.802987,1.5
RX_47,-0.097282,52.802989,1.5
RX_48,-0.097241,52.802997,1.5
RX_49,-0.097202,52.803004,1.5
RX_50,-0.097173,52.80301,1.5
RX_51,-0.097122,52.803021,1.5
RX_52,-0.097072,52.803031,1.5
RX_53,-0.097043,52.803036,1.5
RX_54,-0.096993,52.803043,1.5
RX_55,-0.096944,52.803051,1.5
RX_56,-0.096917,52.803057,1.5
RX_57,-0.096869,52.803069,1.5
RX_58,-0.09682,52.803081,1.5
RX_59,-0.096792,52.803088,1.5
RX_60,-0.096739,52.803101,1.5
RX_61,-0.096687,52.803114,1.5
RX_62,-0.096658,52.803121,1.5
RX_63,-0.096604,52.803133,1.5
RX_64,-0.09655,52.803145,1.5
RX_65,-0.096519,52.803152,1.5
RX_66,-0.096465,52.803166,1.5
RX_67,-0.096411,52.80318,1.5
RX_68,-0.096379,52.803188,1.5
RX_69,-0.096328,52.803202,1.5
RX_70,-0.096277,52.803216,1.5
RX_71,-0.096247,52.803225,1.5
RX_72,-0.096193,52.803239,1.5
RX_73,-0.096139,52.803253,1.5
RX_74,-0.096108,52.803261,1.5
RX_75,-0.096056,52.803277,1.5
RX_76,-0.096003,52.803293,1.5
RX_77,-0.095974,52.803302,1.5
RX_78,-0.095925,52.803317,1.5
RX_79,-0.095876,52.803331,1.5
RX_80,-0.095848,52.80334,1.5
RX_81,-0.095797,52.803355,1.5
RX_82,-0.095746,52.80337,1.5
RX_83,-0.095718,52.803378,1.5
RX_84,-0.09567,52.803392,1.5
RX_85,-0.095622,52.803405,1.5
RX_86,-0.095595,52.803413,1.5
RX_87,-0.095543,52.803427,1.5
RX_88,-0.095491,52.803441,1.5
RX_89,-0.095463,52.803448,1.5
RX_90,-0.095417,52.803459,1.5
RX_91,-0.095371,52.80347,1.5
RX_92,-0.095327,52.80348,1.5
RX_93,-0.095299,52.803488,1.5
RX_94,-0.095251,52.803502,1.5
RX_95,-0.095204,52.803516,1.5
RX_96,-0.095181,52.803523,1.5
RX_97,-0.095133,52.803536,1.5
RX_98,-0.095085,52.803549,1.5
RX_99,-0.095038,52.803562,1.5
RX_100,-0.095017,52.803569,1.5
RX_101,-0.094971,52.803582,1.5
RX_102,-0.094925,52.803595,1.5
RX_103,-0.094885,52.803607,1.5
RX_104,-0.094859,52.803616,1.5
RX_105,-0.094811,52.803632,1.5
RX_106,-0.094764,52.803648,1.5
RX_107,-0.094725,52.803662,1.5
RX_108,-0.094696,52.803671,1.5
RX_109,-0.094648,52.803686,1.5
RX_110,-0.094601,52.803701,1.5
RX_111,-0.094557,52.803715,1.5
RX_112,-0.094533,52.803723,1.5
RX_113,-0.094484,52.803738,1.5
RX_114,-0.094436,52.803754,1.5
RX_115,-0.094388,52.803769,1.5
RX_116,-0.094368,52.803775,1.5
RX_117,-0.094319,52.80379,1.5
RX_118,-0.094271,52.803805,1.5
RX_119,-0.094222,52.80382,1.5
RX_120,-0.094203,52.803826,1.5
RX_121,-0.094153,52.803843,1.5
RX_122,-0.094103,52.803861,1.5
RX_123,-0.094053,52.803878,1.5
RX_124,-0.094025,52.803888,1.5
RX_125,-0.093987,52.803904,1.5
RX_126,-0.093941,52.803922,1.5
RX_127,-0.093894,52.80394,1.5
RX_128,-0.093853,52.803957,1.5
RX_129,-0.093826,52.803968,1.5
RX_130,-0.093776,52.803989,1.5
RX_131,-0.093725,52.804011,1.5
RX_132,-0.093687,52.804027,1.5
