name,lon,lat,local_measurement_dBm,path_loss_dB
RX_1,-0.134900,51.530300,-38.91,86.71
RX_1,-0.134900,51.530300,-39.55,87.35
RX_3,-0.135000,51.530300,-39.08,86.88
RX_3,-0.135000,51.530300,-39.40,87.20
RX_5,-0.135100,51.530300,-39.96,87.76
RX_5,-0.135100,51.530300,-50.63,98.43
RX_7,-0.135200,51.530300,-53.56,101.36
RX_7,-0.135200,51.530300,-54.30,102.10
RX_11,-0.135200,51.530200,-54.06,101.86
RX_11,-0.135200,51.530200,-55.05,102.85
RX_11,-0.135200,51.530200,-55.06,102.86
RX_11,-0.135200,51.530200,-55.74,103.54
RX_11,-0.135200,51.530200,-54.63,102.43
RX_11,-0.135200,51.530200,-55.26,103.06
RX_19,-0.135300,51.530200,-56.69,104.49
RX_19,-0.135300,51.530200,-55.39,103.19
RX_19,-0.135300,51.530200,-55.68,103.48
RX_19,-0.135300,51.530200,-57.05,104.85
RX_19,-0.135300,51.530200,-57.16,104.96
RX_22,-0.135300,51.530100,-55.97,103.77
RX_22,-0.135300,51.530100,-56.34,104.14
RX_22,-0.135300,51.530100,-56.73,104.53
RX_25,-0.135400,51.530100,-54.51,102.31
RX_25,-0.135400,51.530100,-54.00,101.80
RX_25,-0.135400,51.530100,-54.05,101.85
RX_25,-0.135400,51.530100,-55.91,103.71
RX_25,-0.135400,51.530100,-55.19,102.99
RX_25,-0.135400,51.530100,-53.04,100.84
RX_25,-0.135400,51.530100,-53.21,101.01
RX_30,-0.135500,51.530100,-53.96,101.76
RX_31,-0.135500,51.530000,-53.29,101.09
RX_31,-0.135500,51.530000,-55.78,103.58
RX_35,-0.135600,51.530000,-56.36,104.16
RX_35,-0.135600,51.530000,-55.57,103.37
RX_35,-0.135600,51.530000,-55.38,103.18
RX_36,-0.135700,51.530000,-56.51,104.31
RX_36,-0.135700,51.530000,-55.70,103.50
RX_36,-0.135700,51.530000,-58.20,106.00
RX_40,-0.135800,51.530000,-55.28,103.08
RX_40,-0.135800,51.530000,-53.46,101.26
RX_41,-0.135900,51.530000,-55.53,103.33
RX_41,-0.135900,51.530000,-54.89,102.69
RX_43,-0.136000,51.529900,-53.45,101.25
RX_44,-0.136000,51.530000,-55.85,103.65
RX_46,-0.136100,51.530000,-57.60,105.40
RX_46,-0.136100,51.530000,-58.29,106.09
RX_46,-0.136100,51.530000,-58.44,106.24
RX_46,-0.136100,51.530000,-56.71,104.51
RX_49,-0.136100,51.529900,-55.66,103.46
RX_49,-0.136100,51.529900,-57.14,104.94
RX_53,-0.136200,51.529900,-54.56,102.36
RX_53,-0.136200,51.529900,-55.98,103.78
RX_53,-0.136200,51.529900,-59.37,107.17
RX_54,-0.136300,51.529900,-58.10,105.90
RX_56,-0.136500,51.529800,-58.30,106.10
RX_56,-0.136500,51.529800,-57.61,105.41
RX_57,-0.136600,51.529800,-58.36,106.16
RX_58,-0.136700,51.529800,-62.03,109.83
RX_59,-0.136800,51.529800,-60.89,108.69
RX_59,-0.136800,51.529800,-60.62,108.42
RX_62,-0.136900,51.529800,-59.22,107.02
