name,lon,lat,height
RX_1,-0.1349,51.5304,1.5
RX_2,-0.1351,51.5304,1.5
RX_3,-0.1351,51.5303,1.5
RX_4,-0.1351,51.5302,1.5
RX_5,-0.1352,51.5302,1.5
RX_6,-0.1353,51.5302,1.5
RX_7,-0.1354,51.5301,1.5
RX_8,-0.1354,51.5301,1.5
RX_9,-0.1355,51.5301,1.5
RX_10,-0.1355,51.5301,1.5
RX_11,-0.1356,51.5301,1.5
RX_12,-0.1356,51.53,1.5
RX_13,-0.1357,51.53,1.5
RX_14,-0.1359,51.53,1.5
RX_15,-0.1365,51.5298,1.5
RX_16,-0.1369,51.5298,1.5
RX_17,-0.1371,51.5298,1.5
RX_18,-0.1372,51.5299,1.5
RX_19,-0.1375,51.5299,1.5
RX_20,-0.1375,51.5297,1.5
RX_21,-0.1375,51.5296,1.5
RX_22,-0.1375,51.5295,1.5
RX_23,-0.1375,51.5294,1.5
RX_24,-0.1376,51.5293,1.5
RX_25,-0.1377,51.5293,1.5
RX_26,-0.1379,51.5292,1.5
RX_27,-0.1381,51.5291,1.5
RX_28,-0.1383,51.529,1.5
RX_29,-0.1384,51.529,1.5
RX_30,-0.1386,51.529,1.5
RX_31,-0.1387,51.5291,1.5
RX_32,-0.1387,51.5292,1.5
RX_33,-0.1388,51.5293,1.5
RX_34,-0.139,51.5293,1.5
RX_35,-0.1392,51.5293,1.5
RX_36,-0.1393,51.5293,1.5
RX_37,-0.1395,51.5292,1.5
RX_38,-0.1397,51.5292,1.5
RX_39,-0.1399,51.5292,1.5
RX_40,-0.1401,51.5292,1.5
RX_41,-0.1403,51.5293,1.5
RX_42,-0.1405,51.5293,1.5
RX_43,-0.1407,51.5293,1.5
RX_44,-0.1408,51.5293,1.5
RX_45,-0.141,51.5293,1.5
RX_46,-0.1412,51.5293,1.5
RX_47,-0.1414,51.5293,1.5
RX_48,-0.1416,51.5293,1.5
RX_49,-0.1416,51.5294,1.5
RX_50,-0.1417,51.5295,1.5
RX_51,-0.1417,51.5295,1.5
RX_52,-0.1418,51.5296,1.5
RX_53,-0.1418,51.5297,1.5
RX_54,-0.1417,51.5299,1.5
RX_55,-0.1416,51.53,1.5
RX_56,-0.1415,51.5301,1.5
RX_57,-0.1416,51.5302,1.5
RX_58,-0.1416,51.5304,1.5
RX_59,-0.1416,51.5305,1.5
RX_60,-0.1417,51.5306,1.5
RX_61,-0.1418,51.5308,1.5
RX_62,-0.1417,51.5309,1.5
RX_63,-0.1418,51.531,1.5
RX_64,-0.1418,51.5311,1.5
RX_65,-0.1419,51.5312,1.5
RX_66,-0.1419,51.5313,1.5
RX_67,-0.142,51.5314,1.5
RX_68,-0.142,51.5315,1.5
RX_69,-0.1421,51.5316,1.5
RX_70,-0.1421,51.5317,1.5
RX_71,-0.1421,51.5319,1.5
RX_72,-0.1422,51.5321,1.5
RX_73,-0.1423,51.5322,1.5
RX_74,-0.1424,51.5322,1.5
RX_75,-0.1426,51.5323,1.5
RX_76,-0.1427,51.5324,1.5
RX_77,-0.1428,51.5325,1.5
RX_78,-0.1429,51.5326,1.5
RX_79,-0.143,51.5326,1.5
RX_80,-0.1431,51.5328,1.5
RX_81,-0.1432,51.5329,1.5
RX_82,-0.1433,51.533,1.5
RX_83,-0.1434,51.5331,1.5
RX_84,-0.1434,51.5332,1.5
RX_85,-0.1435,51.5333,1.5
RX_86,-0.1436,51.5334,1.5
RX_87,-0.1436,51.5335,1.5
RX_88,-0.1437,51.5336,1.5
RX_89,-0.1437,51.5337,1.5
RX_90,-0.1438,51.5338,1.5
RX_91,-0.1438,51.5339,1.5
RX_92,-0.1438,51.534,1.5
RX_93,-0.1439,51.5341,1.5
RX_94,-0.1439,51.5342,1.5
RX_95,-0.1438,51.5343,1.5
RX_96,-0.1436,51.5344,1.5
RX_97,-0.1434,51.5344,1.5
RX_98,-0.1432,51.5345,1.5
RX_99,-0.143,51.5346,1.5
RX_100,-0.1429,51.5346,1.5
RX_101,-0.1428,51.5347,1.5
RX_102,-0.1426,51.5347,1.5
RX_103,-0.1425,51.5348,1.5
RX_104,-0.1423,51.5349,1.5
RX_105,-0.1421,51.5349,1.5
RX_106,-0.1422,51.535,1.5
RX_107,-0.1423,51.5351,1.5
RX_108,-0.1425,51.5352,1.5
RX_109,-0.1425,51.5353,1.5
RX_110,-0.1426,51.5354,1.5
RX_111,-0.1427,51.5355,1.5
RX_112,-0.1428,51.5356,1.5
RX_113,-0.1429,51.5357,1.5
RX_114,-0.143,51.5358,1.5
RX_115,-0.1431,51.5359,1.5
RX_116,-0.1432,51.5359,1.5
RX_117,-0.1433,51.536,1.5
RX_118,-0.1433,51.5361,1.5
RX_119,-0.1434,51.5363,1.5
RX_120,-0.1435,51.5364,1.5
RX_121,-0.1435,51.5364,1.5
RX_122,-0.1435,51.5364,1.5
RX_123,-0.1436,51.5364,1.5
RX_124,-0.1438,51.5364,1.5
RX_125,-0.144,51.5364,1.5
RX_126,-0.1441,51.5364,1.5
RX_127,-0.1443,51.5364,1.5
RX_128,-0.1445,51.5363,1.5
RX_129,-0.1447,51.5363,1.5
RX_130,-0.1449,51.5363,1.5
RX_131,-0.1451,51.5364,1.5
RX_132,-0.1453,51.5364,1.5
RX_133,-0.1455,51.5364,1.5
RX_134,-0.1457,51.5364,1.5
RX_135,-0.1458,51.5365,1.5
RX_136,-0.146,51.5366,1.5
RX_137,-0.146,51.5367,1.5
RX_138,-0.146,51.5368,1.5
RX_139,-0.146,51.5369,1.5
RX_140,-0.1459,51.537,1.5
RX_141,-0.1458,51.5371,1.5
RX_142,-0.1456,51.5372,1.5
RX_143,-0.1455,51.5373,1.5
RX_144,-0.1454,51.5374,1.5
RX_145,-0.1453,51.5375,1.5
RX_146,-0.1452,51.5375,1.5
RX_147,-0.1451,51.5376,1.5
RX_148,-0.145,51.5377,1.5
RX_149,-0.1448,51.5378,1.5
RX_150,-0.1447,51.5379,1.5
RX_151,-0.1446,51.538,1.5
RX_152,-0.1446,51.538,1.5
RX_153,-0.1445,51.5381,1.5
RX_154,-0.1444,51.5382,1.5
RX_155,-0.1442,51.5383,1.5
RX_156,-0.1441,51.5384,1.5
RX_157,-0.1439,51.5385,1.5
RX_158,-0.1438,51.5386,1.5
RX_159,-0.1437,51.5386,1.5
RX_160,-0.1435,51.5387,1.5
RX_161,-0.1432,51.5387,1.5
RX_162,-0.1431,51.5387,1.5
RX_163,-0.143,51.5387,1.5
RX_164,-0.1429,51.5387,1.5
RX_165,-0.1427,51.5388,1.5
RX_166,-0.1426,51.5389,1.5
RX_167,-0.1425,51.539,1.5
RX_168,-0.1424,51.5391,1.5
RX_169,-0.1423,51.5392,1.5
RX_170,-0.1422,51.5393,1.5
RX_171,-0.1421,51.5394,1.5
RX_172,-0.1419,51.5395,1.5
RX_173,-0.1417,51.5396,1.5
RX_174,-0.1416,51.5397,1.5
RX_175,-0.1415,51.5398,1.5
RX_176,-0.1414,51.5398,1.5
RX_177,-0.1412,51.5399,1.5
RX_178,-0.1411,51.54,1.5
RX_179,-0.141,51.5401,1.5
RX_180,-0.1408,51.5401,1.5
RX_181,-0.1407,51.5402,1.5
RX_182,-0.1405,51.5402,1.5
RX_183,-0.1404,51.5403,1.5
RX_184,-0.1402,51.5404,1.5
RX_185,-0.1401,51.5404,1.5
RX_186,-0.1399,51.5405,1.5
RX_187,-0.1398,51.5406,1.5
RX_188,-0.1397,51.5406,1.5
RX_189,-0.1395,51.5407,1.5
RX_190,-0.1394,51.5408,1.5
