Site name: Nottingham ,,,,
Site latitude: 52.9863 ,,,,
Site longitude: -1.2559 ,,,,
Frequency (MHz): 2695 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 49.2 ,,,,
Tx cable loss (dB): 2.2 ,,,,
Tx antenna gain (dBi): 2.2 ,,,,
Tx eirp (dBm): 56 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -1 ,,,,
Rx cable loss (dB): 0.3 ,,,,
Rx splitter loss (dB): 6.3 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 1.7 ,,,,
System gain (dB): -9.3 ,,,,
System noise floor (dBm): -120 ,,,,
Dynamic range (dB): 166.7 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 4.453 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
07.03.2016, 13:49:06,52.9864,-1.2559,-41.64
07.03.2016, 13:49:12,52.9864,-1.2559,-42.87
07.03.2016, 13:49:19,52.9864,-1.2559,-46.33
07.03.2016, 13:49:21,52.9865,-1.2559,-34.82
07.03.2016, 13:49:22,52.9865,-1.2559,-30.92
07.03.2016, 13:49:23,52.9865,-1.2559,-32.79
07.03.2016, 13:49:25,52.9866,-1.2559,-32.98
07.03.2016, 13:49:26,52.9866,-1.2559,-36.69
07.03.2016, 13:49:27,52.9866,-1.256,-45.16
07.03.2016, 13:49:28,52.9867,-1.256,-44.78
07.03.2016, 13:49:30,52.9867,-1.256,-47.23
07.03.2016, 13:49:31,52.9868,-1.256,-47.95
07.03.2016, 13:49:32,52.9868,-1.256,-43.16
07.03.2016, 13:49:34,52.9868,-1.256,-44.52
07.03.2016, 13:49:35,52.9869,-1.256,-46.6
07.03.2016, 13:49:36,52.9869,-1.256,-41.66
07.03.2016, 13:49:37,52.9869,-1.2559,-41.56
07.03.2016, 13:49:38,52.9869,-1.2559,-42.03
07.03.2016, 13:49:39,52.987,-1.2558,-41.71
07.03.2016, 13:49:40,52.987,-1.2558,-39.6
07.03.2016, 13:49:41,52.987,-1.2557,-39.58
07.03.2016, 13:49:42,52.9871,-1.2557,-36.66
07.03.2016, 13:49:42,52.9871,-1.2557,-36.67
07.03.2016, 13:49:43,52.9871,-1.2556,-46.28
07.03.2016, 13:49:44,52.9872,-1.2556,-44.2
07.03.2016, 13:49:45,52.9872,-1.2556,-38.2
07.03.2016, 13:49:46,52.9872,-1.2555,-39.07
07.03.2016, 13:49:47,52.9873,-1.2555,-38.57
07.03.2016, 13:49:48,52.9873,-1.2554,-38.03
07.03.2016, 13:49:49,52.9873,-1.2554,-38.57
07.03.2016, 13:49:50,52.9873,-1.2553,-39.68
07.03.2016, 13:49:51,52.9874,-1.2553,-40.75
07.03.2016, 13:49:52,52.9874,-1.2552,-42.79
07.03.2016, 13:49:53,52.9874,-1.2552,-43.52
07.03.2016, 13:49:53,52.9874,-1.2551,-43.07
07.03.2016, 13:49:54,52.9875,-1.2551,-41.33
07.03.2016, 13:49:55,52.9875,-1.255,-39.18
07.03.2016, 13:49:56,52.9875,-1.255,-43.25
07.03.2016, 13:49:57,52.9875,-1.2549,-42.48
07.03.2016, 13:49:58,52.9875,-1.2549,-42.53
07.03.2016, 13:49:59,52.9876,-1.2548,-42.66
07.03.2016, 13:50:00,52.9876,-1.2547,-45.7
07.03.2016, 13:50:01,52.9876,-1.2547,-43.35
07.03.2016, 13:50:02,52.9876,-1.2546,-45.95
07.03.2016, 13:50:02,52.9876,-1.2545,-47.43
07.03.2016, 13:50:03,52.9876,-1.2545,-45.01
07.03.2016, 13:50:04,52.9876,-1.2544,-43.7
07.03.2016, 13:50:05,52.9877,-1.2544,-45.24
07.03.2016, 13:50:06,52.9877,-1.2544,-47.95
07.03.2016, 13:50:06,52.9877,-1.2544,-48.92
07.03.2016, 13:50:07,52.9878,-1.2544,-48.71
07.03.2016, 13:50:07,52.9878,-1.2544,-45.21
07.03.2016, 13:50:08,52.9878,-1.2544,-46.74
07.03.2016, 13:50:09,52.9879,-1.2544,-56.24
07.03.2016, 13:50:09,52.9879,-1.2544,-53.19
07.03.2016, 13:50:10,52.988,-1.2544,-49.21
07.03.2016, 13:50:10,52.988,-1.2544,-46.68
07.03.2016, 13:50:11,52.988,-1.2544,-46.49
07.03.2016, 13:50:12,52.9881,-1.2545,-47.5
07.03.2016, 13:50:12,52.9881,-1.2545,-47.79
07.03.2016, 13:50:13,52.9881,-1.2545,-49.03
07.03.2016, 13:50:13,52.9882,-1.2545,-49.08
07.03.2016, 13:50:14,52.9882,-1.2545,-48.28
07.03.2016, 13:50:14,52.9882,-1.2545,-51.27
07.03.2016, 13:50:15,52.9883,-1.2545,-50
07.03.2016, 13:50:15,52.9883,-1.2546,-48.12
07.03.2016, 13:50:16,52.9884,-1.2546,-50.23
07.03.2016, 13:50:16,52.9884,-1.2546,-50.28
07.03.2016, 13:50:17,52.9884,-1.2546,-51.01
07.03.2016, 13:50:17,52.9885,-1.2546,-50.9
07.03.2016, 13:50:18,52.9885,-1.2546,-48.83
07.03.2016, 13:50:18,52.9886,-1.2546,-48.03
07.03.2016, 13:50:19,52.9886,-1.2546,-45.65
07.03.2016, 13:50:19,52.9886,-1.2547,-47.68
07.03.2016, 13:50:20,52.9887,-1.2547,-53.84
07.03.2016, 13:50:21,52.9887,-1.2547,-56.71
07.03.2016, 13:50:22,52.9888,-1.2547,-55.37
07.03.2016, 13:50:23,52.9888,-1.2547,-57.28
07.03.2016, 13:50:24,52.9889,-1.2548,-59.86
07.03.2016, 13:50:25,52.9889,-1.2548,-59.66
07.03.2016, 13:50:26,52.9889,-1.2548,-60.29
07.03.2016, 13:50:28,52.989,-1.2547,-62.54
07.03.2016, 13:50:29,52.989,-1.2547,-62.67
07.03.2016, 13:50:30,52.989,-1.2547,-65.07
07.03.2016, 13:50:31,52.989,-1.2546,-63.39
07.03.2016, 13:50:32,52.9891,-1.2546,-66.42
07.03.2016, 13:50:32,52.9891,-1.2545,-67.47
07.03.2016, 13:50:33,52.9891,-1.2544,-68.03
07.03.2016, 13:50:34,52.9891,-1.2544,-68.24
07.03.2016, 13:50:35,52.9891,-1.2543,-68.41
07.03.2016, 13:50:36,52.9891,-1.2542,-67.69
07.03.2016, 13:50:36,52.9891,-1.2542,-65.66
07.03.2016, 13:50:37,52.9892,-1.2541,-62.5
07.03.2016, 13:50:38,52.9892,-1.2541,-56.51
07.03.2016, 13:50:39,52.9892,-1.254,-55.25
07.03.2016, 13:50:39,52.9893,-1.254,-56.05
07.03.2016, 13:50:40,52.9893,-1.254,-54.73
07.03.2016, 13:50:41,52.9893,-1.2539,-56.52
07.03.2016, 13:50:48,52.9894,-1.2539,-58.7
07.03.2016, 13:50:58,52.9894,-1.2539,-64.08
07.03.2016, 13:50:59,52.9894,-1.2539,-60.52
07.03.2016, 13:51:00,52.9895,-1.2539,-63.29
07.03.2016, 13:51:01,52.9895,-1.2539,-65.59
07.03.2016, 13:51:02,52.9895,-1.2539,-65.49
07.03.2016, 13:51:03,52.9896,-1.2539,-65.48
07.03.2016, 13:51:04,52.9896,-1.2539,-64.74
07.03.2016, 13:51:04,52.9896,-1.2539,-64.22
07.03.2016, 13:51:05,52.9897,-1.2539,-62.79
07.03.2016, 13:51:06,52.9897,-1.2539,-65.14
07.03.2016, 13:51:06,52.9897,-1.2539,-64.48
07.03.2016, 13:51:07,52.9898,-1.2539,-66.28
07.03.2016, 13:51:08,52.9898,-1.2539,-64.71
07.03.2016, 13:51:08,52.9899,-1.2539,-66.3
07.03.2016, 13:51:09,52.9899,-1.2539,-66.39
07.03.2016, 13:51:10,52.99,-1.2539,-65.25
07.03.2016, 13:51:10,52.99,-1.2539,-64.77
07.03.2016, 13:51:11,52.99,-1.254,-66.71
07.03.2016, 13:51:12,52.9901,-1.254,-65.53
07.03.2016, 13:51:12,52.9901,-1.254,-65.11
07.03.2016, 13:51:13,52.9901,-1.254,-65.47
07.03.2016, 13:51:13,52.9902,-1.254,-68.01
07.03.2016, 13:51:14,52.9902,-1.2541,-67.7
07.03.2016, 13:51:15,52.9903,-1.2541,-66.35
07.03.2016, 13:51:15,52.9903,-1.2541,-65.82
07.03.2016, 13:51:16,52.9903,-1.2541,-66.46
07.03.2016, 13:51:17,52.9904,-1.2541,-67.95
07.03.2016, 13:51:17,52.9904,-1.2542,-67.58
07.03.2016, 13:51:18,52.9904,-1.2542,-68.21
07.03.2016, 13:51:19,52.9905,-1.2542,-68.24
07.03.2016, 13:51:20,52.9905,-1.2542,-65.65
07.03.2016, 13:51:20,52.9906,-1.2543,-67.42
07.03.2016, 13:51:21,52.9906,-1.2543,-67.66
07.03.2016, 13:51:22,52.9907,-1.2543,-69.15
07.03.2016, 13:51:23,52.9907,-1.2543,-68.91
07.03.2016, 13:51:23,52.9907,-1.2543,-68.1
07.03.2016, 13:51:24,52.9908,-1.2544,-68.88
07.03.2016, 13:51:24,52.9908,-1.2544,-68.93
07.03.2016, 13:51:25,52.9908,-1.2544,-68.55
07.03.2016, 13:51:25,52.9908,-1.2544,-69.15
07.03.2016, 13:51:26,52.9909,-1.2544,-68.75
07.03.2016, 13:51:26,52.9909,-1.2545,-69
07.03.2016, 13:51:27,52.9909,-1.2545,-72.3
07.03.2016, 13:51:27,52.991,-1.2545,-71.91
07.03.2016, 13:51:28,52.991,-1.2545,-71.5
07.03.2016, 13:51:28,52.991,-1.2545,-74.9
07.03.2016, 13:51:29,52.9911,-1.2546,-75.21
07.03.2016, 13:51:29,52.9911,-1.2546,-75.86
