Date,Time,Rx_Lat_deg,Rx_Lon_deg,RSSI_dBm,PL_meas_dB
15.02.2016, 12:55:48,52.9865,-1.2558,-24.5500,80.7500
15.02.2016, 12:55:53,52.9866,-1.2559,-25.1200,81.3200
15.02.2016, 12:55:56,52.9867,-1.2560,-34.9000,91.1000
15.02.2016, 12:56:00,52.9868,-1.2560,-28.8600,85.0600
15.02.2016, 12:56:03,52.9869,-1.2559,-25.0300,81.2300
15.02.2016, 12:56:05,52.9870,-1.2558,-23.1300,79.3300
15.02.2016, 12:56:07,52.9871,-1.2557,-23.3400,79.5400
15.02.2016, 12:56:09,52.9871,-1.2556,-27.5700,83.7700
15.02.2016, 12:56:11,52.9872,-1.2555,-22.8700,79.0700
15.02.2016, 12:56:13,52.9873,-1.2553,-23.1200,79.3200
15.02.2016, 12:56:16,52.9874,-1.2552,-23.8400,80.0400
15.02.2016, 12:56:19,52.9875,-1.2550,-26.7300,82.9300
15.02.2016, 12:56:21,52.9875,-1.2549,-26.4900,82.6900
15.02.2016, 12:56:24,52.9876,-1.2547,-27.7400,83.9400
15.02.2016, 12:56:27,52.9876,-1.2545,-28.7500,84.9500
15.02.2016, 12:56:54,52.9877,-1.2544,-31.5200,87.7200
15.02.2016, 12:57:19,52.9878,-1.2544,-33.7100,89.9100
15.02.2016, 12:57:22,52.9879,-1.2544,-37.8400,94.0400
15.02.2016, 12:57:24,52.9880,-1.2545,-34.3000,90.5000
15.02.2016, 12:57:26,52.9881,-1.2545,-35.4300,91.6300
15.02.2016, 12:57:28,52.9882,-1.2545,-37.3600,93.5600
15.02.2016, 12:57:30,52.9883,-1.2546,-35.7400,91.9400
15.02.2016, 12:57:31,52.9885,-1.2546,-34.2300,90.4300
15.02.2016, 12:57:33,52.9886,-1.2547,-33.9900,90.1900
15.02.2016, 12:57:36,52.9887,-1.2547,-41.2400,97.4400
15.02.2016, 12:57:39,52.9888,-1.2547,-43.4700,99.6700
15.02.2016, 12:57:44,52.9889,-1.2547,-46.8400,103.0400
15.02.2016, 12:57:47,52.9890,-1.2546,-45.6500,101.8500
15.02.2016, 12:57:50,52.9891,-1.2545,-48.7400,104.9400
15.02.2016, 12:57:53,52.9891,-1.2543,-48.8700,105.0700
15.02.2016, 12:57:55,52.9892,-1.2542,-46.4200,102.6200
15.02.2016, 12:57:57,52.9892,-1.2540,-44.8100,101.0100
15.02.2016, 12:57:59,52.9893,-1.2540,-43.5100,99.7100
15.02.2016, 12:58:01,52.9895,-1.2539,-44.6600,100.8600
15.02.2016, 12:58:02,52.9896,-1.2539,-51.0400,107.2400
15.02.2016, 12:58:04,52.9897,-1.2539,-50.8100,107.0100
15.02.2016, 12:58:06,52.9898,-1.2539,-51.3700,107.5700
15.02.2016, 12:58:07,52.9899,-1.2539,-51.0800,107.2800
15.02.2016, 12:58:10,52.9900,-1.2540,-50.4700,106.6700
15.02.2016, 12:58:31,52.9902,-1.2541,-49.7100,105.9100
15.02.2016, 12:58:40,52.9902,-1.2541,-49.7700,105.9700
15.02.2016, 12:58:42,52.9904,-1.2542,-51.2700,107.4700
15.02.2016, 12:58:44,52.9905,-1.2542,-52.8300,109.0300
15.02.2016, 12:58:48,52.9906,-1.2543,-53.1100,109.3100
15.02.2016, 12:58:53,52.9907,-1.2543,-53.0200,109.2200
15.02.2016, 12:58:55,52.9908,-1.2544,-57.2400,113.4400
15.02.2016, 12:58:57,52.9909,-1.2544,-58.1000,114.3000
15.02.2016, 12:58:58,52.9910,-1.2545,-58.9200,115.1200
15.02.2016, 12:59:00,52.9911,-1.2546,-60.4900,116.6900
15.02.2016, 12:59:01,52.9912,-1.2546,-59.0600,115.2600
15.02.2016, 12:59:03,52.9913,-1.2547,-62.9900,119.1900
15.02.2016, 12:59:04,52.9914,-1.2548,-63.5900,119.7900
15.02.2016, 12:59:05,52.9915,-1.2548,-62.7000,118.9000
15.02.2016, 12:59:07,52.9916,-1.2549,-63.2400,119.4400
15.02.2016, 12:59:08,52.9917,-1.2549,-63.4000,119.6000
15.02.2016, 12:59:09,52.9918,-1.2550,-64.6700,120.8700
15.02.2016, 12:59:10,52.9919,-1.2550,-63.4400,119.6400
15.02.2016, 12:59:11,52.9920,-1.2550,-66.0000,122.2000
15.02.2016, 12:59:12,52.9922,-1.2551,-63.8200,120.0200
15.02.2016, 12:59:13,52.9923,-1.2551,-66.6100,122.8100
15.02.2016, 12:59:14,52.9924,-1.2551,-65.1000,121.3000
15.02.2016, 12:59:15,52.9925,-1.2552,-65.2400,121.4400
