Site name: Scar Hill ,,,,
Site latitude (deg): 57.1887 ,,,,
Site longitude (deg): -2.8547 ,,,,
Frequency (MHz): 915.95 ,,,,
Tx antenna height (m): 17 ,,,,
Adjusted e.i.r.p. (dBm): 46.9 ,,,,
Rx antenna height (m): 1.5 ,,,,
System noise floor (dBm): -124 ,,,,
Number of records: 143541 ,,,,
Date (dd.mm.yyyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
01.09.2018, 10:06:13,57.185928,-2.861288,-37.14
01.09.2018, 10:06:26,57.185964,-2.861107,-35.01
01.09.2018, 10:06:29,57.185989,-2.860942,-34.66
01.09.2018, 10:06:31,57.186019,-2.860736,-34.8
01.09.2018, 10:06:33,57.186051,-2.860527,-35.55
01.09.2018, 10:06:36,57.186095,-2.860317,-35.99
01.09.2018, 10:06:38,57.18614,-2.860127,-37.65
01.09.2018, 10:06:40,57.186192,-2.859944,-37.25
01.09.2018, 10:06:42,57.186249,-2.859764,-37.25
01.09.2018, 10:06:45,57.186298,-2.859573,-38.19
01.09.2018, 10:06:47,57.186342,-2.859382,-37.31
01.09.2018, 10:06:48,57.186386,-2.859184,-36.8
01.09.2018, 10:06:51,57.186422,-2.858975,-37.47
01.09.2018, 10:06:53,57.186443,-2.858775,-38.58
01.09.2018, 10:06:55,57.186464,-2.858584,-38.3
01.09.2018, 10:06:57,57.186499,-2.858358,-38.57
01.09.2018, 10:07:00,57.186529,-2.85818,-42.1
01.09.2018, 10:07:02,57.186563,-2.857957,-42.11
01.09.2018, 10:07:05,57.186597,-2.857755,-44.08
01.09.2018, 10:07:07,57.186625,-2.857557,-43.03
01.09.2018, 10:07:10,57.186647,-2.857358,-44.99
01.09.2018, 10:07:12,57.18668,-2.857157,-42.92
01.09.2018, 10:07:14,57.186706,-2.856939,-46.69
01.09.2018, 10:07:17,57.186726,-2.856732,-43.18
01.09.2018, 10:07:19,57.186747,-2.856525,-41.9
01.09.2018, 10:07:22,57.186748,-2.856298,-42.33
01.09.2018, 10:07:24,57.186751,-2.856085,-42.68
01.09.2018, 10:07:27,57.186754,-2.85589,-43.7
01.09.2018, 10:07:30,57.186763,-2.85567,-46.6
01.09.2018, 10:07:32,57.186766,-2.855462,-42.45
01.09.2018, 10:07:35,57.18677,-2.855257,-40.81
01.09.2018, 10:07:37,57.186768,-2.855037,-40.93
01.09.2018, 10:07:40,57.186761,-2.854829,-40.9
01.09.2018, 10:07:42,57.186745,-2.854603,-47.15
01.09.2018, 10:07:45,57.186723,-2.854408,-43.28
01.09.2018, 10:07:47,57.1867,-2.854218,-43.56
01.09.2018, 10:07:49,57.18667,-2.854024,-44.21
01.09.2018, 10:07:51,57.186643,-2.853803,-43.89
01.09.2018, 10:07:54,57.186621,-2.853575,-43.05
01.09.2018, 10:07:58,57.186581,-2.853362,-43.55
01.09.2018, 10:08:01,57.186558,-2.853172,-47.18
01.09.2018, 10:08:05,57.186528,-2.852948,-49.11
01.09.2018, 10:08:10,57.186506,-2.852707,-49.71
01.09.2018, 10:08:16,57.186483,-2.852549,-48.99
01.09.2018, 10:08:19,57.186458,-2.852368,-46.56
01.09.2018, 10:08:21,57.186435,-2.852185,-45.48
01.09.2018, 10:08:24,57.186407,-2.85199,-45.35
01.09.2018, 10:08:26,57.186385,-2.851774,-45.53
01.09.2018, 10:08:29,57.186355,-2.851573,-45.37
01.09.2018, 10:08:32,57.186333,-2.851368,-43.15
01.09.2018, 10:08:34,57.186323,-2.851153,-45.55
01.09.2018, 10:08:37,57.186306,-2.850956,-46.08
01.09.2018, 10:08:39,57.186299,-2.850744,-48.41
01.09.2018, 10:08:42,57.186283,-2.850545,-49.31
01.09.2018, 10:08:44,57.186267,-2.850342,-51.68
01.09.2018, 10:08:46,57.18626,-2.850118,-52.43
01.09.2018, 10:08:49,57.18625,-2.849897,-51.75
01.09.2018, 10:08:51,57.186253,-2.849676,-53.86
01.09.2018, 10:08:54,57.18625,-2.849482,-55.06
01.09.2018, 10:08:56,57.186236,-2.849277,-53.43
01.09.2018, 10:08:59,57.186219,-2.849076,-54.15
01.09.2018, 10:09:01,57.186187,-2.848863,-54.64
01.09.2018, 10:09:04,57.186151,-2.848662,-53.04
01.09.2018, 10:09:08,57.1861,-2.848463,-52.11
01.09.2018, 10:09:11,57.186058,-2.848295,-49.26
01.09.2018, 10:09:13,57.185994,-2.848141,-45.33
01.09.2018, 10:09:16,57.185925,-2.847972,-45.5
01.09.2018, 10:09:19,57.185867,-2.84775,-44.89
01.09.2018, 10:09:39,57.185812,-2.84748,-47.21
01.09.2018, 10:10:05,57.185778,-2.847369,-44.96
01.09.2018, 10:10:25,57.1857,-2.847083,-47.64
01.09.2018, 10:11:06,57.185671,-2.846995,-55.99
01.09.2018, 10:11:12,57.185599,-2.846703,-55.35
01.09.2018, 10:11:24,57.185621,-2.846794,-54.67
01.09.2018, 10:11:29,57.185669,-2.846997,-52
01.09.2018, 10:11:34,57.185718,-2.847195,-44.51
01.09.2018, 10:11:42,57.185781,-2.84742,-46.07
01.09.2018, 10:11:53,57.185869,-2.847605,-45.39
01.09.2018, 10:12:02,57.185883,-2.847662,-44.03
01.09.2018, 10:12:06,57.185911,-2.847855,-43.67
01.09.2018, 10:12:10,57.185957,-2.848058,-44.89
01.09.2018, 10:12:14,57.185955,-2.848271,-50.18
01.09.2018, 10:12:16,57.185948,-2.84846,-47.56
01.09.2018, 10:12:18,57.185934,-2.84867,-52.17
01.09.2018, 10:12:21,57.185921,-2.848897,-53.99
01.09.2018, 10:12:24,57.185883,-2.849111,-56.33
01.09.2018, 10:12:27,57.185814,-2.849249,-54.99
01.09.2018, 10:12:30,57.185717,-2.849357,-49.58
01.09.2018, 10:12:32,57.185604,-2.849377,-50.12
01.09.2018, 10:12:35,57.185485,-2.849291,-50.74
01.09.2018, 10:12:37,57.185399,-2.849147,-50.57
01.09.2018, 10:12:40,57.185323,-2.848983,-48.08
